iter	MultiLogloss
0	0.6892230448
1	0.6853278626
2	0.6813607662
3	0.6775722644
4	0.6739367587
5	0.6701189295
6	0.666617155
7	0.6631979749
8	0.6597447474
9	0.656323256
10	0.6529496801
11	0.6495529588
12	0.6461464393
13	0.6427320597
14	0.6396416838
15	0.6362750531
16	0.6331621179
17	0.6300091072
18	0.6267866253
19	0.6235550864
20	0.6204954185
21	0.6175122611
22	0.6145272324
23	0.6114941482
24	0.608455241
25	0.6056775894
26	0.6027626889
27	0.6001078403
28	0.5973682559
29	0.5947299155
30	0.5920937814
31	0.5895912571
32	0.5868515217
33	0.5841587831
34	0.5814101146
35	0.5789579164
36	0.5766197596
37	0.5742858011
38	0.5719405323
39	0.5696891141
40	0.5672116428
41	0.5646612637
42	0.5623990251
43	0.5600804356
44	0.5577998542
45	0.5556758969
46	0.553360452
47	0.5512415487
48	0.5492293559
49	0.5472456366
50	0.5450914449
51	0.5428714674
52	0.5407447156
53	0.5386276396
54	0.536620236
55	0.5346236968
56	0.5327709816
57	0.5309144722
58	0.5289801352
59	0.5270981507
60	0.5253848041
61	0.5235076537
62	0.5215387506
63	0.5196950791
64	0.5180262757
65	0.5163465679
66	0.5145598874
67	0.5127753588
68	0.5112201408
69	0.5095286807
70	0.5079722657
71	0.5064815898
72	0.5049328577
73	0.5033401793
74	0.5018247657
75	0.5001441036
76	0.4984396866
77	0.4969275685
78	0.4953916474
79	0.493888489
80	0.4924907219
81	0.4910299636
82	0.489675169
83	0.4882747105
84	0.4868839467
85	0.4854061628
86	0.4839084835
87	0.4826477822
88	0.481367361
89	0.479941117
90	0.4785593598
91	0.4772243445
92	0.4759116392
93	0.4745661448
94	0.4733109834
95	0.4719833018
96	0.4707427622
97	0.4695298892
98	0.4683345562
99	0.467042983
100	0.4659351018
101	0.4647859375
102	0.4636761801
103	0.4624128849
104	0.4613048772
105	0.4602130735
106	0.4591203778
107	0.4579426596
108	0.4569335462
109	0.4558101349
110	0.4548158571
111	0.4537058203
112	0.4526003411
113	0.4515274461
114	0.450587923
115	0.4495866553
116	0.4484931854
117	0.4476076029
118	0.4466675026
119	0.4455480529
120	0.4445303041
121	0.4436753798
122	0.4427270469
123	0.4417059714
124	0.4408008411
125	0.4397953986
126	0.4389369424
127	0.4381130616
128	0.4371579559
129	0.4362066416
130	0.4353101269
131	0.4344425887
132	0.4334824039
133	0.4325696266
134	0.4317143368
135	0.4307843358
136	0.4298885945
